date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:20	92633/92633	---MCZ	200	added ('OK')	application/javascript	etag:%225e80bc8ea38c755502c5ef8fe163e3f8-ssl-df%22	https://comeout.netlify.app/demo/default/js/jquery-3.2.1.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/jquery-3.2.1.min.js	(from https://comeout.netlify.app/demo/default/)
21:19:21	37051/37051	---MCZ	200	added ('OK')	application/javascript	etag:%22186dc4a1693c6f68fcb601186b26bc34-ssl-df%22	https://comeout.netlify.app/demo/default/js/bootstrap.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/bootstrap.min.js	(from https://comeout.netlify.app/demo/default/)
21:19:21	6666/6666	---MCZ	200	added ('OK')	application/javascript	etag:%22f10e44ad8cc9216a43226b0e1121a296-ssl-df%22	https://comeout.netlify.app/demo/default/js/plugins/parallax.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/plugins/parallax.min.js	(from https://comeout.netlify.app/demo/default/)
21:19:22	20219/20219	---MCZ	200	added ('OK')	application/javascript	etag:%228fd2cf4e3eda7bc0d39b42ea51851d42-ssl-df%22	https://comeout.netlify.app/demo/default/js/plugins/magnific-popup.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/plugins/magnific-popup.min.js	(from https://comeout.netlify.app/demo/default/)
21:19:22	42772/42772	---MCZ	200	added ('OK')	application/javascript	etag:%22cd0d4a0db04a03ca4ff05bd26e6fafcc-ssl-df%22	https://comeout.netlify.app/demo/default/js/plugins/owl.carousel.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/plugins/owl.carousel.min.js	(from https://comeout.netlify.app/demo/default/)
21:19:23	8416/8416	---MCZ	200	added ('OK')	application/javascript	etag:%22f43927b2f51e91dc0bcb9c654cbf20ee-ssl-df%22	https://comeout.netlify.app/demo/default/js/plugins/wow.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/plugins/wow.min.js	(from https://comeout.netlify.app/demo/default/)
21:19:24	4379/4379	---MCZ	200	added ('OK')	application/javascript	etag:%22c9abe6fa93710348f3dfdbea2a5d649d-ssl-df%22	https://comeout.netlify.app/demo/default/js/plugins/appear.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/plugins/appear.js	(from https://comeout.netlify.app/demo/default/)
21:19:24	35324/35324	---MCZ	200	added ('OK')	application/javascript	etag:%2281f49854ed9dee6b5029c1de4025f881-ssl-df%22	https://comeout.netlify.app/demo/default/js/plugins/isotope.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/plugins/isotope.min.js	(from https://comeout.netlify.app/demo/default/)
21:19:25	37083/37083	---MCZ	200	added ('OK')	application/javascript	etag:%222828fa47b30b315ffe5cfec2b53a8883-ssl-df%22	https://comeout.netlify.app/demo/default/js/plugins/jqBootstrapValidation.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/plugins/jqBootstrapValidation.js	(from https://comeout.netlify.app/demo/default/)
21:19:25	2966/2966	---MCZ	200	added ('OK')	application/javascript	etag:%229f732dd8c3e06158d0ea2494ee789123-ssl-df%22	https://comeout.netlify.app/demo/default/js/plugins/contact_me.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/plugins/contact_me.js	(from https://comeout.netlify.app/demo/default/)
21:19:26	6530/6530	---MCZ	200	added ('OK')	application/javascript	etag:%228dbb010a9dde1e13b6926040d4009590-ssl-df%22	https://comeout.netlify.app/demo/default/js/main.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/js/main.js	(from https://comeout.netlify.app/demo/default/)
21:19:27	8132/8132	---MCZ	200	added ('OK')	text/css	etag:%2277b668ca32b3cd08f9aa42ab071686bc-ssl-df%22	https://comeout.netlify.app/demo/default/css/normalize.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/normalize.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:27	7402/7402	---MCZ	200	added ('OK')	text/css	etag:%223decb2d52c75dd774abc5b49404133eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/skills.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/skills.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:28	7650/7650	---MCZ	200	added ('OK')	text/css	etag:%22875174d6eaba906bc15912082f18dec7-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/timeline.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/timeline.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:28	71742/71742	---MCZ	200	added ('OK')	text/css	etag:%225a55ccdd4c8e0a76a24ee4aaba235de6-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/animate.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/animate.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:29	98139/98139	---MCZ	200	added ('OK')	text/css	etag:%22ef05095934c38378dc5e889313f601b7-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/hover-min.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/hover-min.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:29	31004/31004	---MCZ	200	added ('OK')	text/css	etag:%220dd00f32926c57b36a0ed7d5dacb36ff-ssl-df%22	https://comeout.netlify.app/demo/default/css/font-awesome.min.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/font-awesome.min.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:30	2941/2941	---M-Z	200	added ('OK')	text/css	etag:%22edcf2000c42ae915663dfadb56151f81-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/owl.carousel.min.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/owl.carousel.min.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:30	7302/7302	---MCZ	200	added ('OK')	text/css	etag:%220be8f2bfe2d7670f2dca0badb08e65c9-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/magnific-popup.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/magnific-popup.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:31	121205/121205	---MCZ	200	added ('OK')	text/css	etag:%2267f88502c00cd7d67430f619ca0c28b9-ssl-df%22	https://comeout.netlify.app/demo/default/css/bootstrap.min.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/bootstrap.min.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:32	31638/31638	---MCZ	200	added ('OK')	text/css	etag:%22248c13ba741b1dff28d1bfdd21030260-ssl-df%22	https://comeout.netlify.app/demo/default/css/main.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/main.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:32	11624/11624	---MCZ	200	added ('OK')	text/css	etag:%222bcafbd87dc7ed8d33c11f22c9101078-ssl-df%22	https://comeout.netlify.app/demo/default/css/responsive.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/responsive.css	(from https://comeout.netlify.app/demo/default/style.css)
21:19:33	11144/11144	---MCZ	200	added ('OK')	text/css	etag:%22ce856d38f1dc45f1c75927ac80fdd0a3-ssl-df%22	https://comeout.netlify.app/demo/default/css/page.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/page.css	(from https://comeout.netlify.app/demo/default/portfolio)
21:19:33	64835/64835	---M--	200	added ('OK')	image/jpeg	etag:%22b80346e3c27e1338dc3db480edc7bd45-ssl%22	https://comeout.netlify.app/demo/default/img/portfolio/portfolio-open/portfolio-open-1.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/portfolio/portfolio-open/portfolio-open-1.jpg	(from https://comeout.netlify.app/demo/default/single-portfolio)
21:19:34	32484/32484	---M--	200	added ('OK')	image/jpeg	etag:%22e0283af94482d4036cd2de2c51adf4d0-ssl%22	https://comeout.netlify.app/demo/default/img/portfolio/portfolio-open/portfolio-open-2.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/portfolio/portfolio-open/portfolio-open-2.jpg	(from https://comeout.netlify.app/demo/default/single-portfolio)
21:19:35	48347/48347	---M--	200	added ('OK')	image/jpeg	etag:%224946d6de309d20fc04f01574f57b134d-ssl%22	https://comeout.netlify.app/demo/default/img/portfolio/portfolio-open/portfolio-open-3.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/portfolio/portfolio-open/portfolio-open-3.jpg	(from https://comeout.netlify.app/demo/default/single-portfolio)
21:19:35	40201/40201	---M--	200	added ('OK')	image/jpeg	etag:%2224c62ca1e1f6dc78d37f26f53f14963c-ssl%22	https://comeout.netlify.app/demo/default/img/portfolio/portfolio-open/portfolio-open-4.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/portfolio/portfolio-open/portfolio-open-4.jpg	(from https://comeout.netlify.app/demo/default/single-portfolio)
21:19:36	37957/37957	---M--	200	added ('OK')	image/jpeg	etag:%2274484de1b2ad19fa8e31f8979533062e-ssl%22	https://comeout.netlify.app/demo/default/img/blog/signle-blog-thum-1.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/blog/signle-blog-thum-1.jpg	(from https://comeout.netlify.app/demo/default/single-blog)
21:19:37	39474/39474	---M--	200	added ('OK')	image/jpeg	etag:%228478a2cb65ad81e51e42daa2c0cd5c3e-ssl%22	https://comeout.netlify.app/demo/default/img/blog/signle-blog-thum-2.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/blog/signle-blog-thum-2.jpg	(from https://comeout.netlify.app/demo/default/single-blog)
21:19:37	8243/8243	---M--	200	added ('OK')	image/jpeg	etag:%2278d1772de30de49906a6f8252666308a-ssl%22	https://comeout.netlify.app/demo/default/img/comments/comments-thum-1.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/comments/comments-thum-1.jpg	(from https://comeout.netlify.app/demo/default/single-blog)
21:19:38	8377/8377	---M--	200	added ('OK')	image/jpeg	etag:%22e4df659e7cae6ab99d1a91f4c6c5e2eb-ssl%22	https://comeout.netlify.app/demo/default/img/comments/comments-thum-2.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/comments/comments-thum-2.jpg	(from https://comeout.netlify.app/demo/default/single-blog)
21:19:39	7146/7146	---M--	200	added ('OK')	image/jpeg	etag:%2213c37d7f1510aebda4c2b6a65bc6d92d-ssl%22	https://comeout.netlify.app/demo/default/img/comments/comments-thum-3.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/comments/comments-thum-3.jpg	(from https://comeout.netlify.app/demo/default/single-blog)
21:19:39	19064/19064	---M--	200	added ('OK')	image/jpeg	etag:%22c623b961d5a9a2f61c0b630eb3682150-ssl%22	https://comeout.netlify.app/demo/default/img/related-post/post-thum-1.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/related-post/post-thum-1.jpg	(from https://comeout.netlify.app/demo/default/single-blog)
21:19:40	18858/18858	---M--	200	added ('OK')	image/jpeg	etag:%2207b14faabccb262325750d3c63f23652-ssl%22	https://comeout.netlify.app/demo/default/img/related-post/post-thum-2.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/related-post/post-thum-2.jpg	(from https://comeout.netlify.app/demo/default/single-blog)
21:19:41	19205/19205	---M--	200	added ('OK')	image/jpeg	etag:%22b6e328b15769aac832929ac49eee8ac1-ssl%22	https://comeout.netlify.app/demo/default/img/related-post/post-thum-3.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/related-post/post-thum-3.jpg	(from https://comeout.netlify.app/demo/default/single-blog)
21:19:42	165742/165742	---MCZ	200	added ('OK')	application/octet-stream	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	https://comeout.netlify.app/demo/default/fonts/fontawesome-webfont.eot?v=4.7.0	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/fontawesome-webfont3e6e.eot	(from https://comeout.netlify.app/demo/default/css/font-awesome.min.css)
21:19:42	165742/165742	---M-Z	200	added ('OK')	application/octet-stream	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	https://comeout.netlify.app/demo/default/fonts/fontawesome-webfont.eot?	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/fontawesome-webfontd41d.eot	(from https://comeout.netlify.app/demo/default/css/font-awesome.min.css)
21:19:42	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%223c437c341174d75b3bf5d2d5a134da0d-ssl%22	https://comeout.netlify.app/demo/default/fonts/fontawesome-webfont.woff2?v=4.7.0	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/fontawesome-webfont3e6e.woff2	(from https://comeout.netlify.app/demo/default/css/font-awesome.min.css)
21:19:43	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:%22ba421a370eabbc3d43585a770be1e18b-ssl-df%22	https://comeout.netlify.app/demo/default/fonts/fontawesome-webfont.woff?v=4.7.0	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/fontawesome-webfont3e6e.woff	(from https://comeout.netlify.app/demo/default/css/font-awesome.min.css)
21:19:44	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%2270ff12bbc965c9bb40dc96081062bebe-ssl%22	https://comeout.netlify.app/demo/default/fonts/fontawesome-webfont.ttf?v=4.7.0	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/fontawesome-webfont3e6e.ttf	(from https://comeout.netlify.app/demo/default/css/font-awesome.min.css)
